site,treatment,plot,spaceholder,group,initial.cover.spaceholder,final.cover.spaceholder,change.in.cover.spaceholder
Ava_Iti_East,Palatable-dominated,1,Amansia,Palatable algae,55,0,-55
Ava_Iti_East,Palatable-dominated,1,Sargassum,Palatable algae,35,10,-25
Ava_Iti_East,Palatable-dominated,1,Turbinaria,Unpalatable algae,5,5,0
Ava_Iti_East,Palatable-dominated,1,Turf/CCA,Turf/CCA,5,85,80
Ava_Iti_East,Palatable-dominated,2,Amansia,Palatable algae,50,5,-45
Ava_Iti_East,Palatable-dominated,2,Sargassum,Palatable algae,35,10,-25
Ava_Iti_East,Palatable-dominated,2,Turbinaria,Unpalatable algae,15,15,0
Ava_Iti_East,Palatable-dominated,2,Turf/CCA,Turf/CCA,0,70,70
Ava_Iti_East,Palatable-dominated,3,Amansia,Palatable algae,70,0,-70
Ava_Iti_East,Palatable-dominated,3,Sargassum,Palatable algae,25,5,-20
Ava_Iti_East,Palatable-dominated,3,Turbinaria,Unpalatable algae,5,5,0
Ava_Iti_East,Palatable-dominated,3,Turf/CCA,Turf/CCA,0,90,90
Ava_Iti_East,Palatable-dominated,4,Amansia,Palatable algae,65,0,-65
Ava_Iti_East,Palatable-dominated,4,Sargassum,Palatable algae,20,5,-15
Ava_Iti_East,Palatable-dominated,4,Turbinaria,Unpalatable algae,5,5,0
Ava_Iti_East,Palatable-dominated,4,Turf/CCA,Turf/CCA,10,90,80
Ava_Iti_East,Palatable-dominated,5,Amansia,Palatable algae,60,0,-60
Ava_Iti_East,Palatable-dominated,5,Sargassum,Palatable algae,20,5,-15
Ava_Iti_East,Palatable-dominated,5,Turbinaria,Unpalatable algae,5,5,0
Ava_Iti_East,Palatable-dominated,5,Turf/CCA,Turf/CCA,15,90,75
Ava_Iti_East,Palatable-dominated,6,Amansia,Palatable algae,70,0,-70
Ava_Iti_East,Palatable-dominated,6,Sargassum,Palatable algae,25,5,-20
Ava_Iti_East,Palatable-dominated,6,Turbinaria,Unpalatable algae,5,5,0
Ava_Iti_East,Palatable-dominated,6,Turf/CCA,Turf/CCA,0,90,90
Ava_Iti_East,Unpalatable-dominated,1,Amansia,Palatable algae,0,0,0
Ava_Iti_East,Unpalatable-dominated,1,Sargassum,Palatable algae,0,0,0
Ava_Iti_East,Unpalatable-dominated,1,Turbinaria,Unpalatable algae,100,100,0
Ava_Iti_East,Unpalatable-dominated,1,Turf/CCA,Turf/CCA,0,0,0
Ava_Iti_East,Unpalatable-dominated,2,Amansia,Palatable algae,0,0,0
Ava_Iti_East,Unpalatable-dominated,2,Sargassum,Palatable algae,0,0,0
Ava_Iti_East,Unpalatable-dominated,2,Turbinaria,Unpalatable algae,90,90,0
Ava_Iti_East,Unpalatable-dominated,2,Turf/CCA,Turf/CCA,10,10,0
Ava_Iti_East,Unpalatable-dominated,3,Amansia,Palatable algae,0,0,0
Ava_Iti_East,Unpalatable-dominated,3,Sargassum,Palatable algae,0,0,0
Ava_Iti_East,Unpalatable-dominated,3,Turbinaria,Unpalatable algae,100,95,-5
Ava_Iti_East,Unpalatable-dominated,3,Turf/CCA,Turf/CCA,0,5,5
Ava_Iti_East,Unpalatable-dominated,4,Amansia,Palatable algae,0,0,0
Ava_Iti_East,Unpalatable-dominated,4,Sargassum,Palatable algae,0,0,0
Ava_Iti_East,Unpalatable-dominated,4,Turbinaria,Unpalatable algae,90,85,-5
Ava_Iti_East,Unpalatable-dominated,4,Turf/CCA,Turf/CCA,10,15,5
