replicate,taxa,weight_g,treatment,tot.biomass,prop.biomass
61,Turbinaria ornata,9.4,caged,255,0.036862745
61,Dictyota bartayresiana,0,caged,255,0
61,Amansia rhodantha,124,caged,255,0.48627451
61,Sargassum pacificum,121.6,caged,255,0.476862745
61,NO ALGAE,0,caged,255,0
61,Halimeda spp,0,caged,255,0
61,Caulerpa peltata,0,caged,255,0
61,Boodlea kaeneana,0,caged,255,0
61,Lobophora variegata,0,caged,255,0
61,Padina boryana,0,caged,255,0
61,Spyridia filamentosa,0,caged,255,0
62,Turbinaria ornata,2.4,caged,141.8,0.016925247
62,Dictyota bartayresiana,0,caged,141.8,0
62,Amansia rhodantha,139.1,caged,141.8,0.980959097
62,Sargassum pacificum,0.3,caged,141.8,0.002115656
62,NO ALGAE,0,caged,141.8,0
62,Halimeda spp,0,caged,141.8,0
62,Caulerpa peltata,0,caged,141.8,0
62,Boodlea kaeneana,0,caged,141.8,0
62,Lobophora variegata,0,caged,141.8,0
62,Padina boryana,0,caged,141.8,0
62,Spyridia filamentosa,0,caged,141.8,0
63,Turbinaria ornata,0,caged,260,0
63,Dictyota bartayresiana,0,caged,260,0
63,Amansia rhodantha,258.3,caged,260,0.993461538
63,Sargassum pacificum,1.7,caged,260,0.006538462
63,NO ALGAE,0,caged,260,0
63,Halimeda spp,0,caged,260,0
63,Caulerpa peltata,0,caged,260,0
63,Boodlea kaeneana,0,caged,260,0
63,Lobophora variegata,0,caged,260,0
63,Padina boryana,0,caged,260,0
63,Spyridia filamentosa,0,caged,260,0
64,Turbinaria ornata,6.9,caged,260.9,0.026446915
64,Dictyota bartayresiana,0,caged,260.9,0
64,Amansia rhodantha,139.7,caged,260.9,0.535454197
64,Sargassum pacificum,114.3,caged,260.9,0.438098888
64,NO ALGAE,0,caged,260.9,0
64,Halimeda spp,0,caged,260.9,0
64,Caulerpa peltata,0,caged,260.9,0
64,Boodlea kaeneana,0,caged,260.9,0
64,Lobophora variegata,0,caged,260.9,0
64,Padina boryana,0,caged,260.9,0
64,Spyridia filamentosa,0,caged,260.9,0
65,Turbinaria ornata,2.3,caged,204.7,0.011235955
65,Dictyota bartayresiana,0,caged,204.7,0
65,Amansia rhodantha,106.3,caged,204.7,0.519296532
65,Sargassum pacificum,81.7,caged,204.7,0.399120664
65,NO ALGAE,0,caged,204.7,0
65,Halimeda spp,13,caged,204.7,0.063507572
65,Caulerpa peltata,1.4,caged,204.7,0.006839277
65,Boodlea kaeneana,0,caged,204.7,0
65,Lobophora variegata,0,caged,204.7,0
65,Padina boryana,0,caged,204.7,0
65,Spyridia filamentosa,0,caged,204.7,0
66,Turbinaria ornata,0,caged,233.2,0
66,Dictyota bartayresiana,0,caged,233.2,0
66,Amansia rhodantha,207.7,caged,233.2,0.890651801
66,Sargassum pacificum,25.5,caged,233.2,0.109348199
66,NO ALGAE,0,caged,233.2,0
66,Halimeda spp,0,caged,233.2,0
66,Caulerpa peltata,0,caged,233.2,0
66,Boodlea kaeneana,0,caged,233.2,0
66,Lobophora variegata,0,caged,233.2,0
66,Padina boryana,0,caged,233.2,0
66,Spyridia filamentosa,0,caged,233.2,0
67,Turbinaria ornata,0,caged,193.1,0
67,Dictyota bartayresiana,0,caged,193.1,0
67,Amansia rhodantha,170,caged,193.1,0.880372864
67,Sargassum pacificum,0,caged,193.1,0
67,NO ALGAE,0,caged,193.1,0
67,Halimeda spp,0,caged,193.1,0
67,Caulerpa peltata,0,caged,193.1,0
67,Boodlea kaeneana,22.4,caged,193.1,0.116002071
67,Lobophora variegata,0.7,caged,193.1,0.003625065
67,Padina boryana,0,caged,193.1,0
67,Spyridia filamentosa,0,caged,193.1,0
68,Turbinaria ornata,0,exposed,0,NA
68,Dictyota bartayresiana,0,exposed,0,NA
68,Amansia rhodantha,0,exposed,0,NA
68,Sargassum pacificum,0,exposed,0,NA
68,NO ALGAE,0,exposed,0,NA
68,Halimeda spp,0,exposed,0,NA
68,Caulerpa peltata,0,exposed,0,NA
68,Boodlea kaeneana,0,exposed,0,NA
68,Lobophora variegata,0,exposed,0,NA
68,Padina boryana,0,exposed,0,NA
68,Spyridia filamentosa,0,exposed,0,NA
69,Turbinaria ornata,0,exposed,0,NA
