"replicate","taxa","percConsump"
"1","Turbinaria ornata",13.6363636363636
"1","Sargassum pacificum",19.047619047619
"1","Amansia rhodantha",100
"2","Turbinaria ornata",0
"2","Sargassum pacificum",10.5263157894737
"2","Amansia rhodantha",100
"3","Turbinaria ornata",0
"3","Sargassum pacificum",0
"3","Amansia rhodantha",25
"7","Turbinaria ornata",3.22580645161291
"7","Sargassum pacificum",0
"7","Amansia rhodantha",100
"9","Turbinaria ornata",10
"9","Sargassum pacificum",0
"9","Amansia rhodantha",0
"10","Turbinaria ornata",0
"10","Sargassum pacificum",0
"10","Amansia rhodantha",100
"11","Turbinaria ornata",0
"11","Sargassum pacificum",0
"11","Amansia rhodantha",44.4444444444444
"12","Turbinaria ornata",0
"12","Sargassum pacificum",0
"12","Amansia rhodantha",100
"14","Turbinaria ornata",0
"14","Sargassum pacificum",0
"14","Amansia rhodantha",19.047619047619
"15","Turbinaria ornata",0
"15","Sargassum pacificum",15.3846153846154
"15","Amansia rhodantha",70
"17","Turbinaria ornata",0
"17","Sargassum pacificum",0
"17","Amansia rhodantha",40
"19","Turbinaria ornata",0
"19","Sargassum pacificum",14.2857142857143
"19","Amansia rhodantha",30
"20","Turbinaria ornata",0
"20","Sargassum pacificum",7.6923076923077
"20","Amansia rhodantha",100
"22","Turbinaria ornata",0
"22","Sargassum pacificum",66.6666666666667
"22","Amansia rhodantha",0
"23","Turbinaria ornata",0
"23","Sargassum pacificum",23.0769230769231
"23","Amansia rhodantha",100
"25","Turbinaria ornata",0
"25","Sargassum pacificum",0
"25","Amansia rhodantha",35.7142857142857
"26","Turbinaria ornata",0
"26","Sargassum pacificum",0
"26","Amansia rhodantha",36.3636363636364
"27","Turbinaria ornata",8.33333333333332
"27","Sargassum pacificum",15.3846153846154
"27","Amansia rhodantha",25
"28","Turbinaria ornata",0
"28","Sargassum pacificum",0
"28","Amansia rhodantha",100
"30","Turbinaria ornata",11.7647058823529
"30","Sargassum pacificum",80
"30","Amansia rhodantha",100
