replicate,treatment,final_community_assemblage,final_community_state
61,caged,Amansia-Sargassum-dominated,Palatable-dominated
62,caged,Amansia-dominated,Palatable-dominated
63,caged,Amansia-dominated,Palatable-dominated
64,caged,Amansia-Sargassum-dominated,Palatable-dominated
65,caged,Amansia-Sargassum-dominated,Palatable-dominated
66,caged,Amansia-dominated,Palatable-dominated
67,caged,Amansia-dominated,Palatable-dominated
68,exposed,Turf/CCA,Turf/CCA-dominated
69,exposed,Turf/CCA,Turf/CCA-dominated
70,exposed,Turf/CCA,Turf/CCA-dominated
71,exposed,Turf/CCA,Turf/CCA-dominated
72,exposed,Turf/CCA,Turf/CCA-dominated
73,exposed,Turbinaria-dominated,Unpalatable-dominated
74,exposed,Turf/CCA,Turf/CCA-dominated
75,caged,Sargassum-dominated,Palatable-dominated
76,caged,Amansia-dominated,Palatable-dominated
77,caged,Amansia-dominated,Palatable-dominated
78,caged,Treatment compromised,Treatment compromised
79,caged,Sargassum-dominated,Palatable-dominated
80,caged,Amansia-dominated,Palatable-dominated
81,caged,Treatment compromised,Treatment compromised
82,exposed,Turbinaria-dominated,Unpalatable-dominated
83,exposed,Turbinaria-dominated,Unpalatable-dominated
84,exposed,Turf/CCA,Turf/CCA-dominated
85,exposed,Turf/CCA,Turf/CCA-dominated
86,exposed,Turbinaria-dominated,Unpalatable-dominated
87,exposed,Turf/CCA,Turf/CCA-dominated
88,exposed,Turbinaria-dominated,Unpalatable-dominated
89,caged,Amansia-dominated,Palatable-dominated
90,caged,Amansia-dominated,Palatable-dominated
91,caged,Amansia-dominated,Palatable-dominated
92,caged,Amansia-dominated,Palatable-dominated
93,caged,Amansia-dominated,Palatable-dominated
94,caged,Amansia-dominated,Palatable-dominated
95,exposed,Turf/CCA,Turf/CCA-dominated
96,exposed,Turbinaria-dominated,Unpalatable-dominated
97,exposed,Turf/CCA,Turf/CCA-dominated
98,exposed,Turf/CCA,Turf/CCA-dominated
99,exposed,Turf/CCA,Turf/CCA-dominated
100,exposed,Turbinaria-dominated,Unpalatable-dominated
101,partial cage,Turbinaria-dominated,Unpalatable-dominated
102,partial cage,Turf/CCA,Turf/CCA-dominated
