replicate,treatment,replicate.new.name
61,caged,C1
62,caged,C2
63,caged,C3
64,caged,C4
65,caged,C5
66,caged,C6
67,caged,C7
75,caged,C8
76,caged,C9
77,caged,C10
78,caged,C11
79,caged,C12
80,caged,C13
81,caged,C14
89,caged,C15
90,caged,C16
91,caged,C17
92,caged,C18
93,caged,C19
94,caged,C20
68,exposed,E1
69,exposed,E2
70,exposed,E3
71,exposed,E4
72,exposed,E5
73,exposed,E6
74,exposed,E7
82,exposed,E8
83,exposed,E9
84,exposed,E10
85,exposed,E11
86,exposed,E12
87,exposed,E13
88,exposed,E14
95,exposed,E15
96,exposed,E16
97,exposed,E17
98,exposed,E18
99,exposed,E19
100,exposed,E20
101,partial cage,P1
102,partial cage,P2
